feature,permutation_auprc_drop_mean,permutation_auprc_drop_std,train_coverage
MAP__mean,0.1128172499747502,0.007768623959037674,1.0
MAP__last,0.0985685556716746,0.009208290270965192,1.0
ASA__value,0.0186305714106666,0.0011954364308029435,0.9202322081272845
RemiEffectSite__mean,0.016774107615614063,0.008320451120814868,0.7060847129649538
RR_CO2__mean,0.01446499119884072,0.0027449924331792255,0.9935497742420984
SetTidalVolume__mean,0.009549172904530442,0.005202112261465519,0.9698989464631262
RemiEffectSite__last,0.009498931813846962,0.005295544600834034,0.7060847129649538
PIP__mean,0.00812417624268108,0.0012033922344121383,0.9974199096968394
MAC__last,0.006332716394532552,0.0014610398589820631,0.9987099548484197
MAC__mean,0.005791108615134114,0.0028448253429309957,0.9987099548484197
TidalVolume__last,0.004720451124625236,0.0013049729738095952,0.9967748871210492
InCO2__mean,0.004629545037582731,0.0019249556469845106,0.9952698344442056
BIS__mean,0.004386900980152442,0.0031487824585277957,0.9114168995914858
BIS_SQI__mean,0.004214129427117305,0.00199419623441944,0.9114168995914858
Compliance__last,0.004133033420938451,0.0028303873755867255,0.9989249623736831
RemiEffectSite__std,0.003910633435667972,0.0017631691348274007,0.7060847129649538
RemiRate__mean,0.0037639718135000664,0.003043033111505179,0.7060847129649538
ST_II__mean,0.0036307381384273587,0.0025260059521019238,0.9505482691894216
RemiRate__std,0.003144572100997889,0.0022492510335434955,0.7060847129649538
BIS_SQI__slope_per_min,0.0031206723732304744,0.0009274380015852344,0.9114168995914858
VentLeak__last,0.0030907971700984286,0.0018765466952879652,1.0
RemiRate__coverage,0.0030695671594615542,0.0010997628887992193,1.0
BIS_SQI__last,0.002838797545919621,0.0015296414897714035,0.9114168995914858
PropofolRate__mean,0.002786361879330464,0.001564982568775051,0.3093958288540099
RemiEffectSite__coverage,0.0027323068650934737,0.0010132456179557593,1.0
PropofolEffectSite__mean,0.0027217320996384964,0.0024920849906953074,0.3093958288540099
RemiRate__slope_per_min,0.002719628733386044,0.0009107732406061241,0.6929692539238873
VentLeak__mean,0.0025830171961483367,0.0022548261672133254,1.0
ExpDes__mean,0.002544884883892695,0.0019132516892045124,0.21952268329391528
BIS_SQI__std,0.00229552807809178,0.0011001540692084717,0.9114168995914858
InCO2__last,0.0020497507317426794,0.0006135213897120256,0.9952698344442056
ExpDes__last,0.0020344345211698736,0.0018384398302110447,0.21952268329391528
PEEP__last,0.0019748055223616262,0.0010195233978106911,0.9956998494947323
PlateauPressure__slope_per_min,0.0019665071131746465,0.0007084151255852254,0.8322941302945603
BIS_EMG__mean,0.0018322470992992704,0.002007526286671,0.9079767791872716
PropofolEffectSite__std,0.0017901036609880442,0.0015926320280726318,0.3093958288540099
PropofolRate__std,0.0017890025361947763,0.0009448266675990559,0.3093958288540099
HR__slope_per_min,0.0017466232450064696,0.0007326941310719497,1.0
PEEP__slope_per_min,0.0016684091209109779,0.0005106528761284249,0.832079122769297
