parameter,grouped_permutation_auprc_drop_mean,grouped_permutation_auprc_drop_std,validation_windows_at_least_80pct_observed,validation_median_sample_coverage,summary_features
MAP,0.17210253002053427,0.005534145355616884,1.0,1.0,5
RemiEffectSite,0.027436594011352865,0.009522597699285887,0.8729658792650918,1.0,5
ASA,0.019779688241531007,0.0014736884170791285,0.9548556430446195,0.9548556430446195,1
SetTidalVolume,0.019767246566478804,0.007334821756996817,0.0,0.3,5
RR_CO2,0.017447519967387776,0.004465129248280772,0.994750656167979,1.0,5
RemiRate,0.01373588442523814,0.003248569223958816,0.8729658792650918,1.0,5
MAC,0.010695487268851667,0.005587251453768598,0.0,0.3,5
VentLeak,0.00840565564206358,0.0017166805766265017,0.0,0.3,4
BIS_SQI,0.007949033942533712,0.002103890470647906,0.9753280839895013,1.0,5
PIP,0.00793857566890284,0.0014745375063247618,0.0,0.3,5
InCO2,0.006844731460281889,0.0018524808542652934,0.9979002624671915,1.0,5
ExpDes,0.005132152875455681,0.0023819250989123267,0.0,0.0,4
TidalVolume,0.0031569195106109296,0.004215642713607851,0.0,0.3,5
EtCO2,0.0030632216157987224,0.0018356424008998794,0.9952755905511811,1.0,5
PEEP,0.002455413431312281,0.0010832058371193951,0.0,0.3,5
PropofolRate,0.0015348025553143796,0.005316044018727936,0.19370078740157481,0.0,5
BIS_EMG,0.0007606361707084563,0.004123304389992399,0.9627296587926509,1.0,5
BIS,0.0005260035702588095,0.00410985961468891,0.9753280839895013,1.0,5
BIS_SR,0.0004979969489567332,0.0015483794633717807,0.9564304461942257,1.0,5
PropofolEffectSite,0.00042642712072538114,0.0025844221828012427,0.19370078740157481,0.0,5
ST_II,-0.000866391136017157,0.0027765662544189957,0.984251968503937,1.0,5
SetRespRate,-0.0032258909424689175,0.0021292190381673494,0.0,0.3,5
Temperature,-0.0034585767227823597,0.00909910722078394,0.8934383202099737,1.0,5
FeO2,-0.003523977828097262,0.0076827483069053255,0.9979002624671915,1.0,5
MeanAirwayPressure,-0.0036672386890269915,0.0014546194950472429,0.0,0.3,5
Compliance,-0.005416202018437906,0.005592051186154106,0.0,0.3,5
FiO2,-0.005515370867307863,0.005020294858118339,0.9979002624671915,1.0,5
Age,-0.00648127541854502,0.0012352592254081295,1.0,1.0,1
PlateauPressure,-0.007366300638768572,0.002276657316304918,0.0,0.3,5
ExpSevo,-0.008248385547364637,0.0037685656398065794,0.0,0.0,5
BIS_SEF,-0.009210975411406835,0.003386326460176587,0.9564304461942257,1.0,5
SpO2,-0.009843740376047662,0.0015309322751672636,0.9931758530183727,1.0,5
Weight,-0.011523728412781861,0.0037804060082655133,1.0,1.0,1
HR,-0.012113613054556618,0.0077904991979123915,1.0,1.0,5
MinuteVolume,-0.013269938462347211,0.005025574055767278,0.0,0.3,5
EmergencyOperation,-0.022077889069762442,0.002796910419665228,1.0,1.0,1
BMI,-0.027474546436589024,0.004218069567316459,1.0,1.0,1
Height,-0.031079467080603697,0.007705340842854653,1.0,1.0,1
